Optimization Technique,key,Mean Latency (s),P99 Latency (s),Throughput (tokens/s),Headlines/min,Model footprint (GB),Peak memory (GB),ROUGE-1,ROUGE-2,ROUGE-L,n,speedup vs baseline
Baseline (No Cache),baseline_no_cache,58.387684325804,109.5342050708155,0.20381010374718497,1.0276139684732015,4.943257856,6.200250368,0.1544977690307479,0.028095238095238097,0.14454406532704422,20,1.0
KV Caching,kv_cache,6.504250686487649,9.063559775969477,1.8295727784173248,9.224736697902479,4.943257856,6.263996416,0.1544977690307479,0.028095238095238097,0.14454406532704422,20,8.976850238429824
Pruning (30%),pruned_30,7.148370774404611,9.753588892200495,1.9584882264540988,8.393520970517566,4.943257856,7.272620032,0.11055645760888726,0.015367965367965367,0.1063897909422206,20,8.167970880143262
Quantization (8-bit),quant_int8,18.236138847493567,29.962193685891098,0.6744848842654294,3.2901701671484362,2.024022272,3.920871424,0.1719834865296233,0.03397759103641457,0.1642797828259196,20,3.2017569516273445
Quantization (4-bit NF4),quant_nf4,13.41532109939726,20.16971812437288,0.9392246303046826,4.472498239546107,1.537483008,3.912814592,0.1228082502654114,0.023095238095238096,0.1228082502654114,20,4.352313589305537
Tensor Parallelism (simulated),tensor_parallel_sim,6.573495298868511,9.966920207364018,1.8103002221737856,9.127564145414045,4.943257856,7.872888832,0.1544977690307479,0.028095238095238097,0.14454406532704422,20,8.882288899766037
Pipeline Parallelism (simulated),pipeline_parallel_sim,6.570281916751992,9.58373937416123,1.8111856006755256,9.132028238700128,4.943257856,7.82985216,0.1544977690307479,0.028095238095238097,0.14454406532704422,20,8.886633034259184
3B target alone,target_3b_alone,49.000293788762065,54.582102699938694,0.22959046018169227,1.2244824543023587,6.42550016,9.439686656,0.10501893939393939,0.01923076923076923,0.10501893939393939,8,1.1915782500715308
Speculative Decoding (3B + 1B draft),speculative_3b_1b,67.82873612086405,78.43044058082857,0.16770178320484821,0.8845808344871114,6.42550016,11.903991808,0.10189393939393938,0.01785714285714286,0.10189393939393938,8,0.8608104420781624
